Time,<FuelMassFlw>,<EoNOx>,<PwrHeatTrnsfrLoss>,EngTrq,InjPw,SpkAdv,ICP,ECP
417.2 sec,0.00247103269689774,6.65903509465015e-05,75308.3486697944,115.086974159551,5.74515102028724,25.4231221461259,40.9424859660368,33.6793188713888
417.4 sec,0.00104163863589335,6.92064588510496e-05,12775.7544353066,104.000348800266,2.42180982845203,10,30.2896324172621,7.98380086423609
417.6 sec,0.00860215053763441,8.16525354110285e-05,350852.579701402,114.8192077503,20,22.0710953646708,45.2870847070496,31.313112921341
417.8 sec,0.00860215053763441,8.16525354110285e-05,350852.579701402,114.8192077503,20,22.0710953646708,45.2870847070496,31.313112921341
418 sec,0.00267664842858842,6.74615564389967e-05,83743.0185172896,116.963612545238,6.22320759646807,23.928984690499,27.9162797053839,15.9655347909864
418.2 sec,0.00102020893463414,6.7996675998598e-05,12762.6398743809,101.742722040131,2.37198577302437,10.7541786466614,23.7182756833734,21.8045549820411
418.4 sec,0.00102020893463414,6.7996675998598e-05,12762.6398743809,101.742722040131,2.37198577302437,10.7541786466614,23.7182756833734,21.8045549820411
418.6 sec,0.00191532312491432,6.08295787154451e-05,48373.8903515748,123.17578321544,4.4531262654258,40,34.5606368251201,26.7783305275766
418.8 sec,0.00769480566347163,7.93923731206342e-05,310663.911270849,113.272410369366,17.8904231675715,25.4536675990692,27.0644319901586,31.6641180438463
419 sec,0.00769480566347163,7.93923731206342e-05,310663.911270849,113.272410369366,17.8904231675715,25.4536675990692,27.0644319901586,31.6641180438463
419.2 sec,0.00860215053763441,8.514962426565e-05,352059.741160972,108.733646232455,20,12.1221958660945,20,8.6332342990809
419.4 sec,0.00088917406354762,6.57089475084111e-05,5088.36215540957,109.826595883045,2.06732969774822,31.9814313748491,49.4812997073115,29.8947850917368
419.6 sec,0.00088917406354762,6.57089475084111e-05,5088.36215540957,109.826595883045,2.06732969774822,31.9814313748491,49.4812997073115,29.8947850917368
419.8 sec,0.00579304669004944,7.89368991759089e-05,226469.914872957,106.210324331117,13.4688335543649,10,40.0439135311027,32.6761341919273
420 sec,0.0040992347659637,7.07927775157667e-05,148177.348896608,115.654533706577,9.53072083086561,32.0887521212776,37.7507969094798,29.0947182242743
420.2 sec,0.0040992347659637,7.07927775157667e-05,148177.348896608,115.654533706577,9.53072083086561,32.0887521212776,37.7507969094798,29.0947182242743
420.4 sec,0.00261058778760857,7.12077479983812e-05,82090.3975038735,109.722117351253,6.06961660618993,10,60,18.6961106228009
420.6 sec,0,6.34445787709737e-05,-34560.8683814119,108.941429166766,0,32.5530303559112,60,32.6764828600891
420.8 sec,0,6.34445787709737e-05,-34560.8683814119,108.941429166766,0,32.5530303559112,60,32.6764828600891
421 sec,0,6.37339868194826e-05,-35671.1645840935,111.964313338771,0,24.6469542818119,47.2794633043714,20.7150112062651
421.2 sec,0.00283073543700708,6.79704085897268e-05,90611.3350965193,116.98152706971,6.58145989104145,22.2535542998541,34.5544321752947,20.6988252154461
421.4 sec,0.00283073543700708,6.79704085897268e-05,90611.3350965193,116.98152706971,6.58145989104145,22.2535542998541,34.5544321752947,20.6988252154461
421.6 sec,0.000100602325707934,6.39717032522908e-05,-31128.1997044146,111.907463477841,0.233900407270947,31.501921457082,28.6112605661139,8.29625550115233
421.8 sec,0.00860215053763441,8.11958154755738e-05,349754.979886374,117.866268139152,20,35.7413449233686,32.3708833923034,14.9914336436611
422 sec,0.00860215053763441,8.11958154755738e-05,349754.979886374,117.866268139152,20,35.7413449233686,32.3708833923034,14.9914336436611
422.2 sec,0.00460591593717876,7.19957368585328e-05,171310.415452253,114.700323011275,10.7087545539406,40,60,32.7511824519197
422.4 sec,0,6.68103490507478e-05,-34264.7936153431,104.583000382932,0,10,60,14.3445495504402
422.6 sec,0,6.68103490507478e-05,-34264.7936153431,104.583000382932,0,10,60,14.3445495504402
422.8 sec,0.00520222176322792,7.73368595764048e-05,200052.560137599,105.830812687798,12.0951655995049,10,22.0218810867302,23.6158029142011
423 sec,0.00311186734373567,7.09582031933902e-05,107089.789931221,102.209619350481,7.23509157418542,10,20,34.0938507264371
423.2 sec,0.00311186734373567,7.09582031933902e-05,107089.789931221,102.209619350481,7.23509157418542,10,20,34.0938507264371
423.4 sec,0.00340453242554907,6.91322206324443e-05,118030.324377345,112.299343004658,7.91553788940158,26.6594222343896,20,28.8366954550747
423.6 sec,0.00430408656038483,7.12704102863103e-05,157241.197597977,116.045272213814,10.0070012528947,39.3563671437041,51.2548568798509,28.5881309054576
423.8 sec,0.00430408656038483,7.12704102863103e-05,157241.197597977,116.045272213814,10.0070012528947,39.3563671437041,51.2548568798509,28.5881309054576
424 sec,0.00250706827038899,7.05712043292645e-05,78137.3780826133,108.108996515673,5.8289337286544,10,20,0
424.2 sec,0.00343916411052031,6.90813297241734e-05,121020.338689006,106.939016380378,7.99605655695971,33.8042892470145,20,40
424.4 sec,0.00343916411052031,6.90813297241734e-05,121020.338689006,106.939016380378,7.99605655695971,33.8042892470145,20,40
424.6 sec,0.000173029954370681,6.73775480758226e-05,-26621.2557706882,104.934036223801,0.402294643911833,10,60,10.4626843351461
424.8 sec,0.00722171738251123,7.73076306645358e-05,287123.12103006,119.385500904574,16.7904929143386,25.4059095030156,59.0289078152053,7.71726186102441
425 sec,0.00722171738251123,7.73076306645358e-05,287123.12103006,119.385500904574,16.7904929143386,25.4059095030156,59.0289078152053,7.71726186102441
425.2 sec,0.00388024226541365,7.00341270176908e-05,137282.911550408,118.474889443828,9.02156326708673,33.9629653222473,60,16.9376268486347
425.4 sec,0.00251534028382778,6.71752841737679e-05,77951.3506310419,112.593257720648,5.84816615989959,22.0955055524597,42.6218401636507,37.0895862047446
